record_type,account_name,account_domain,industry,company_size,person_name,title,email,previous_company,role_type,github_url,personal_site_url,tech_keywords,outcome_notes
target_account,Ramp,ramp.com,fintech,1001-5000,,,,,,,,"Kafka, Snowflake, dbt, Airflow, observability, data reliability","Strong public eng blog and active careers page; data platform modernization signals"
target_account,Plaid,plaid.com,fintech,1001-5000,,,,,,,,"Postgres, Kafka, Snowflake, ClickHouse, compliance, data quality","Compliance-heavy data workflows; public engineering content"
target_account,Brex,brex.com,fintech,1001-5000,,,,,,,,"Snowflake, dbt, Airflow, Kafka, data reliability","Fintech compliance pressure; public eng blog and careers"
target_account,Stripe,stripe.com,fintech,5001-10000,,,,,,,,"Kafka, Spark, data warehouse, real-time analytics, observability","Massive public eng blog and docs; heavy data infrastructure"
target_account,Mercury,mercury.com,fintech,501-1000,,,,,,,,"Postgres, Snowflake, dbt, data platform, analytics","Growing fintech; active careers page and engineering content"
target_account,Marqeta,marqeta.com,fintech,1001-5000,,,,,,,,"Kafka, Snowflake, Airflow, payments data, compliance","Card issuing platform; data reliability and compliance needs"
target_account,Modern Treasury,moderntreasury.com,fintech,201-500,,,,,,,,"Postgres, Kafka, dbt, payment operations, data quality","Payments ops platform; public engineering blog"
target_account,Chime,chime.com,fintech,1001-5000,,,,,,,,"Snowflake, Spark, Kafka, data warehouse, ML platform","Consumer fintech at scale; data platform investment signals"
target_account,Vercel,vercel.com,dev-tools,501-1000,,,,,,,,"Next.js, edge runtime, observability, Postgres, Redis","Public docs, blog, strong GitHub presence"
target_account,Datadog,datadoghq.com,dev-tools,5001-10000,,,,,,,,"Kafka, observability, time-series, Spark, data pipelines","Observability leader; deep public engineering content"
target_account,Snowflake,snowflake.com,data-infra,5001-10000,,,,,,,,"data warehouse, Spark, dbt, data sharing, governance","Data cloud platform; rich public docs and blog"
target_account,Databricks,databricks.com,data-infra,5001-10000,,,,,,,,"Spark, Delta Lake, MLflow, lakehouse, data engineering","Lakehouse platform; massive public engineering footprint"
target_account,Confluent,confluent.io,data-infra,1001-5000,,,,,,,,"Kafka, Flink, streaming, data pipelines, observability","Streaming data platform; public docs and GitHub"
target_account,Fivetran,fivetran.com,data-infra,1001-5000,,,,,,,,"ELT, dbt, Snowflake, data integration, pipelines","Data movement platform; active careers and blog"
target_account,Airbyte,airbyte.com,data-infra,201-500,,,,,,,,"ELT, connectors, dbt, data integration, open source","Open-source data integration; strong GitHub presence"
target_account,MongoDB,mongodb.com,data-infra,5001-10000,,,,,,,,"NoSQL, Atlas, data platform, search, time-series","Document database leader; deep public docs and blog"
target_account,HashiCorp,hashicorp.com,dev-tools,1001-5000,,,,,,,,"Terraform, Vault, infrastructure, observability, Go","Infrastructure tooling; large public GitHub and docs"
target_account,Render,render.com,dev-tools,201-500,,,,,,,,"Postgres, Redis, containers, observability, platform","Cloud platform; public blog and active careers page"
target_account,Shopify,shopify.com,retail-tech,5001-10000,,,,,,,,"Kafka, MySQL, Rails, Lakehouse, real-time analytics","Massive public eng blog and GitHub repos"
target_account,Instacart,instacart.com,retail-tech,5001-10000,,,,,,,,"Snowflake, Spark, Kafka, ML platform, data warehouse","Grocery tech at scale; data platform and ML signals"
target_account,Oscar Health,hioscar.com,healthtech,1001-5000,,,,,,,,"Snowflake, Airflow, dbt, HIPAA, compliance, data warehouse","Heavy data + compliance workload, public careers and blog"
target_account,Cedar,cedar.com,healthtech,501-1000,,,,,,,,"Postgres, Snowflake, dbt, healthcare data, compliance","Healthcare payments; data quality and compliance needs"
target_account,Komodo Health,komodohealth.com,healthtech,1001-5000,,,,,,,,"Spark, Snowflake, healthcare data, analytics, compliance","Healthcare data company; strong data platform signals"
customer_account,Alpaca,alpaca.markets,fintech,201-500,,,,,,,,"Kafka, Postgres, Snowflake, dbt, observability","Reference customer pattern: fintech data team using our stack"
customer_account,Linear,linear.app,dev-tools,201-500,,,,,,,,"Postgres, observability, real-time, data platform","Reference customer: dev-tools team with data reliability needs"
icp_example,,,fintech,201-5000,,,,,,,,"Snowflake, Kafka, dbt, Airflow, observability, compliance, data quality, data reliability, data platform","Best-customer pattern: fintech data teams with reliability and compliance pressure"
icp_example,,,dev-tools,201-1000,,,,,,,,"Postgres, Kafka, telemetry, observability, data platform, edge","Dev-tools with data infra pain"
icp_example,,,data-infra,500-10000,,,,,,,,"Spark, Kafka, Snowflake, dbt, lakehouse, streaming, data engineering","Data-infra companies scaling reliability and governance"
champion,Ramp,ramp.com,,,Priya Nair,Staff Data Platform Engineer,priya.nair@example.com,Alpaca,champion,,,"Snowflake, Kafka, dbt, observability, data reliability","Heavy power user of our platform at Alpaca; recently moved to Ramp to lead data platform reliability"
